experiment,well,strain,DS
RA00058_130520,CAM788A5,tph-1,3
RA00058_130520,CAM788A6,tph-1,3
RA00058_130520,CAM791A1,tph-1,3
RA00058_130520,CAM791A2,tph-1,3
RA00058_130520,CAM791A4,tph-1,3
RA00058_130520,CAM791A5,tph-1,3
RA00058_130520,CAM795A1,tph-1,3
RA00058_130520,CAM795A4,tph-1,3
RA00058_130520,CAM795A5,tph-1,3
RA00058_130520,CAM795A6,tph-1,3
RA00058_130520,CAM796A1,tph-1,3
RA00058_130520,CAM796A2,tph-1,3
RA00058_130520,CAM796A4,tph-1,3
RA00058_130520,CAM796A5,tph-1,3
RA00058_130520,CAM796A6,tph-1,3
RA00059_030620,CAM040A1,tph-1,3
RA00059_030620,CAM040A4,tph-1,3
RA00059_030620,CAM040A5,tph-1,3
RA00059_030620,CAM040A6,tph-1,3
RA00059_030620,CAM787A2,tph-1,3
RA00059_030620,CAM787A3,tph-1,3
RA00059_030620,CAM787A4,tph-1,3
RA00059_030620,CAM788A1,tph-1,3
RA00059_030620,CAM788A3,tph-1,3
RA00059_030620,CAM788A5,tph-1,3
RA00059_030620,CAM788A6,tph-1,3
RA00059_030620,CAM791A2,tph-1,3
RA00059_030620,CAM791A3,tph-1,3
RA00059_030620,CAM791A5,tph-1,3
RA00059_030620,CAM791A6,tph-1,3
RA00059_030620,CAM795A1,tph-1,3
RA00059_030620,CAM795A2,tph-1,3
RA00059_030620,CAM795A4,tph-1,3
RA00059_030620,CAM795A5,tph-1,3
RA00059_030620,CAM795A6,tph-1,3
RA00059_030620,CAM796A5,tph-1,3
RA00059_030620,CAM796A6,tph-1,3
RA00060_250620,CAM034A2,tph-1,1
RA00060_250620,CAM034A4,tph-1,1
RA00060_250620,CAM034A5,tph-1,1
RA00060_250620,CAM035A1,tph-1,1
RA00060_250620,CAM035A2,tph-1,1
RA00060_250620,CAM035A3,tph-1,1
RA00060_250620,CAM035A5,tph-1,1
RA00060_250620,CAM037A1,tph-1,1
RA00060_250620,CAM037A2,tph-1,1
RA00060_250620,CAM037A5,tph-1,1
RA00060_250620,CAM037A6,tph-1,1
RA00060_250620,CAM302A3,tph-1,1
RA00060_250620,CAM302A4,tph-1,1
RA00060_250620,CAM302A5,tph-1,1
RA00060_250620,CAM302A6,tph-1,1
RA00060_250620,CAM307A1,tph-1,1
RA00060_250620,CAM516A1,tph-1,1
RA00060_250620,CAM516A3,tph-1,1
RA00060_250620,CAM516A4,tph-1,1
RA00061_190720,CAM040A1,cat-2,0
RA00061_190720,CAM040A2,cat-2,0
RA00061_190720,CAM040A4,cat-2,0
RA00061_190720,CAM040A6,cat-2,0
RA00061_190720,CAM787A1,cat-2,0
RA00061_190720,CAM787A2,cat-2,0
RA00061_190720,CAM787A4,cat-2,0
RA00061_190720,CAM787A5,cat-2,0
RA00061_190720,CAM787A6,cat-2,0
RA00061_190720,CAM788A1,cat-2,0
RA00061_190720,CAM788A3,cat-2,0
RA00061_190720,CAM788A4,cat-2,0
RA00061_190720,CAM788A6,cat-2,0
RA00061_190720,CAM791A1,cat-2,0
RA00061_190720,CAM791A2,cat-2,0
RA00061_190720,CAM791A4,cat-2,0
RA00061_190720,CAM791A5,cat-2,0
RA00061_190720,CAM791A6,cat-2,0
RA00061_190720,CAM795A1,cat-2,0
RA00061_190720,CAM795A3,cat-2,0
RA00061_190720,CAM795A4,cat-2,0
RA00061_190720,CAM795A5,cat-2,0
RA00061_190720,CAM796A1,cat-2,0
RA00061_190720,CAM796A3,cat-2,0
RA00061_190720,CAM796A5,cat-2,0
RA00061_190720,CAM796A6,cat-2,0
RA00062_170620,CAM040A1,tph-1,3
RA00062_170620,CAM040A2,tph-1,3
RA00062_170620,CAM040A4,tph-1,3
RA00062_170620,CAM040A5,tph-1,3
RA00062_170620,CAM040A6,tph-1,3
RA00062_170620,CAM787A1,tph-1,3
RA00062_170620,CAM787A3,tph-1,3
RA00062_170620,CAM787A5,tph-1,3
RA00062_170620,CAM788A1,tph-1,3
RA00062_170620,CAM788A3,tph-1,3
RA00062_170620,CAM788A4,tph-1,3
RA00062_170620,CAM788A5,tph-1,3
RA00062_170620,CAM788A6,tph-1,3
RA00062_170620,CAM791A1,tph-1,3
RA00062_170620,CAM791A2,tph-1,3
RA00062_170620,CAM791A4,tph-1,3
RA00062_170620,CAM791A5,tph-1,3
RA00062_170620,CAM791A6,tph-1,3
RA00062_170620,CAM795A1,tph-1,3
RA00062_170620,CAM795A2,tph-1,3
RA00062_170620,CAM795A3,tph-1,3
RA00062_170620,CAM795A4,tph-1,3
RA00062_170620,CAM795A5,tph-1,3
RA00062_170620,CAM795A6,tph-1,3
RA00062_170620,CAM796A1,tph-1,3
RA00062_170620,CAM796A2,tph-1,3
RA00062_170620,CAM796A3,tph-1,3
RA00062_170620,CAM796A4,tph-1,3
RA00062_170620,CAM796A6,tph-1,3
RA00064_190720,CAM034A1,cat-2,0
RA00064_190720,CAM034A2,cat-2,0
RA00064_190720,CAM034A3,cat-2,0
RA00064_190720,CAM034A4,cat-2,0
RA00064_190720,CAM034A5,cat-2,0
RA00064_190720,CAM034A6,cat-2,0
RA00064_190720,CAM035A1,cat-2,0
RA00064_190720,CAM035A4,cat-2,0
RA00064_190720,CAM035A5,cat-2,0
RA00064_190720,CAM035A6,cat-2,0
RA00064_190720,CAM037A1,cat-2,0
RA00064_190720,CAM037A2,cat-2,0
RA00064_190720,CAM037A3,cat-2,0
RA00064_190720,CAM037A4,cat-2,0
RA00064_190720,CAM037A5,cat-2,0
RA00064_190720,CAM037A6,cat-2,0
RA00064_190720,CAM302A1,cat-2,0
RA00064_190720,CAM302A2,cat-2,0
RA00064_190720,CAM302A4,cat-2,0
RA00064_190720,CAM302A5,cat-2,0
RA00064_190720,CAM307A1,cat-2,0
RA00064_190720,CAM307A2,cat-2,0
RA00064_190720,CAM307A4,cat-2,0
RA00064_190720,CAM307A5,cat-2,0
RA00064_190720,CAM307A6,cat-2,0
RA00064_190720,CAM516A2,cat-2,0
RA00064_190720,CAM516A3,cat-2,0
RA00064_190720,CAM516A4,cat-2,0
RA00064_190720,CAM516A5,cat-2,0
RA00064_190720,CAM516A6,cat-2,0
RA00066_290720,CAM034A1,cat-2,3
RA00066_290720,CAM034A2,cat-2,3
RA00066_290720,CAM034A3,cat-2,3
RA00066_290720,CAM034A4,cat-2,3
RA00066_290720,CAM034A6,cat-2,3
RA00066_290720,CAM035A1,cat-2,3
RA00066_290720,CAM035A2,cat-2,3
RA00066_290720,CAM035A3,cat-2,3
RA00066_290720,CAM035A4,cat-2,3
RA00066_290720,CAM035A5,cat-2,3
RA00066_290720,CAM035A6,cat-2,3
RA00066_290720,CAM037A1,cat-2,3
RA00066_290720,CAM037A2,cat-2,3
RA00066_290720,CAM037A3,cat-2,3
RA00066_290720,CAM037A6,cat-2,3
RA00066_290720,CAM302A2,cat-2,3
RA00066_290720,CAM302A4,cat-2,3
RA00066_290720,CAM302A5,cat-2,3
RA00066_290720,CAM302A6,cat-2,3
RA00066_290720,CAM307A1,cat-2,3
RA00066_290720,CAM307A2,cat-2,3
RA00066_290720,CAM307A3,cat-2,3
RA00066_290720,CAM307A4,cat-2,3
RA00066_290720,CAM307A5,cat-2,3
RA00066_290720,CAM307A6,cat-2,3
RA00066_290720,CAM516A1,cat-2,3
RA00066_290720,CAM516A2,cat-2,3
RA00066_290720,CAM516A3,cat-2,3
RA00066_290720,CAM516A4,cat-2,3
RA00066_290720,CAM516A5,cat-2,3
RA00066_290720,CAM516A6,cat-2,3
RA00067_260720,CAM040A2,cat-2,0
RA00067_260720,CAM040A3,cat-2,0
RA00067_260720,CAM787A1,cat-2,0
RA00067_260720,CAM787A2,cat-2,0
RA00067_260720,CAM787A3,cat-2,0
RA00067_260720,CAM787A5,cat-2,0
RA00067_260720,CAM787A6,cat-2,0
RA00067_260720,CAM788A1,cat-2,0
RA00067_260720,CAM788A2,cat-2,0
RA00067_260720,CAM788A4,cat-2,0
RA00067_260720,CAM788A5,cat-2,0
RA00067_260720,CAM788A6,cat-2,0
RA00067_260720,CAM791A1,cat-2,0
RA00067_260720,CAM791A2,cat-2,0
RA00067_260720,CAM791A3,cat-2,0
RA00067_260720,CAM791A4,cat-2,0
RA00067_260720,CAM791A5,cat-2,0
RA00067_260720,CAM791A6,cat-2,0
RA00067_260720,CAM795A2,cat-2,0
RA00067_260720,CAM795A3,cat-2,0
RA00067_260720,CAM795A4,cat-2,0
RA00067_260720,CAM795A6,cat-2,0
RA00067_260720,CAM796A1,cat-2,0
RA00067_260720,CAM796A2,cat-2,0
RA00067_260720,CAM796A4,cat-2,0
RA00069_220720,CAM034A1,cat-2,3
RA00069_220720,CAM034A2,cat-2,3
RA00069_220720,CAM034A3,cat-2,3
RA00069_220720,CAM034A4,cat-2,3
RA00069_220720,CAM034A5,cat-2,3
RA00069_220720,CAM034A6,cat-2,3
RA00069_220720,CAM035A1,cat-2,3
RA00069_220720,CAM035A2,cat-2,3
RA00069_220720,CAM035A3,cat-2,3
RA00069_220720,CAM035A4,cat-2,3
RA00069_220720,CAM035A5,cat-2,3
RA00069_220720,CAM035A6,cat-2,3
RA00069_220720,CAM037A1,cat-2,3
